,x_name,y_name,protein_uniprot
3240781,LIFR,undifferentiated carcinoma of liver and intrahepatic biliary tract,D6RF33
3240782,LIFR,squamous cell carcinoma of liver and intrahepatic biliary tract,D6RF33
3240783,LPA,hepatocellular carcinoma,Q1HP67
3240784,LPA,liver cancer,Q1HP67
3240785,LPA,fibrolamellar hepatocellular carcinoma,Q1HP67
3240786,LPA,pediatric hepatocellular carcinoma,Q1HP67
3240787,LPA,adenocarcinoma of liver and intrahepatic biliary tract,Q1HP67
3240788,LPA,undifferentiated carcinoma of liver and intrahepatic biliary tract,Q1HP67
3240789,LPA,squamous cell carcinoma of liver and intrahepatic biliary tract,Q1HP67
3240790,MAD2L1,hepatocellular carcinoma,D6RJE3
3240791,MAD2L1,liver cancer,D6RJE3
3240792,MAD2L1,fibrolamellar hepatocellular carcinoma,D6RJE3
3240793,MAD2L1,pediatric hepatocellular carcinoma,D6RJE3
3240794,MAD2L1,adenocarcinoma of liver and intrahepatic biliary tract,D6RJE3
3240795,MAD2L1,undifferentiated carcinoma of liver and intrahepatic biliary tract,D6RJE3
3240796,MAD2L1,squamous cell carcinoma of liver and intrahepatic biliary tract,D6RJE3
3240797,MAGEA1,hepatocellular carcinoma,A8IF97
3240798,MAGEA1,liver cancer,A8IF97
3240799,MAGEA1,fibrolamellar hepatocellular carcinoma,A8IF97
3240800,MAGEA1,pediatric hepatocellular carcinoma,A8IF97
3240801,MAGEA1,adenocarcinoma of liver and intrahepatic biliary tract,A8IF97
3240802,MAGEA1,undifferentiated carcinoma of liver and intrahepatic biliary tract,A8IF97
3240803,MAGEA1,squamous cell carcinoma of liver and intrahepatic biliary tract,A8IF97
3240804,MAGEA3,hepatocellular carcinoma,E7EMU0
3240805,MAGEA3,liver cancer,E7EMU0
3240806,MAGEA3,fibrolamellar hepatocellular carcinoma,E7EMU0
3240807,MAGEA3,pediatric hepatocellular carcinoma,E7EMU0
3240808,MAGEA3,adenocarcinoma of liver and intrahepatic biliary tract,E7EMU0
3240809,MAGEA3,undifferentiated carcinoma of liver and intrahepatic biliary tract,E7EMU0
3240810,MAGEA3,squamous cell carcinoma of liver and intrahepatic biliary tract,E7EMU0
3240811,MAGEA6,hepatocellular carcinoma,Q6FGT7
3240812,MAGEA6,liver cancer,Q6FGT7
3240813,MAGEA6,fibrolamellar hepatocellular carcinoma,Q6FGT7
3240814,MAGEA6,pediatric hepatocellular carcinoma,Q6FGT7
3240815,MAGEA6,adenocarcinoma of liver and intrahepatic biliary tract,Q6FGT7
3240816,MAGEA6,undifferentiated carcinoma of liver and intrahepatic biliary tract,Q6FGT7
3240817,MAGEA6,squamous cell carcinoma of liver and intrahepatic biliary tract,Q6FGT7
3240818,MAPT,hepatocellular carcinoma,T1SGS4
3240819,MAPT,liver cancer,T1SGS4
3240820,MAPT,fibrolamellar hepatocellular carcinoma,T1SGS4
3240821,MAPT,pediatric hepatocellular carcinoma,T1SGS4
3240822,MAPT,adenocarcinoma of liver and intrahepatic biliary tract,T1SGS4
3240823,MAPT,undifferentiated carcinoma of liver and intrahepatic biliary tract,T1SGS4
3240824,MAPT,squamous cell carcinoma of liver and intrahepatic biliary tract,T1SGS4
3240825,MAT1A,hepatocellular carcinoma,B1ANE6
3240826,MAT1A,liver cancer,B1ANE6
3240827,MAT1A,fibrolamellar hepatocellular carcinoma,B1ANE6
3240828,MAT1A,pediatric hepatocellular carcinoma,B1ANE6
3240829,MAT1A,adenocarcinoma of liver and intrahepatic biliary tract,B1ANE6
3240830,MAT1A,undifferentiated carcinoma of liver and intrahepatic biliary tract,B1ANE6
3240831,MAT1A,squamous cell carcinoma of liver and intrahepatic biliary tract,B1ANE6
3240832,MCM2,hepatocellular carcinoma,P29469
3240833,MCM2,liver cancer,P29469
3240834,MCM2,fibrolamellar hepatocellular carcinoma,P29469
3240835,MCM2,pediatric hepatocellular carcinoma,P29469
3240836,MCM2,adenocarcinoma of liver and intrahepatic biliary tract,P29469
3240837,MCM2,undifferentiated carcinoma of liver and intrahepatic biliary tract,P29469
3240838,MCM2,squamous cell carcinoma of liver and intrahepatic biliary tract,P29469
3240839,ME1,hepatocellular carcinoma,O15199
3240840,ME1,liver cancer,O15199
3240841,ME1,fibrolamellar hepatocellular carcinoma,O15199
3240842,ME1,pediatric hepatocellular carcinoma,O15199
3240843,ME1,adenocarcinoma of liver and intrahepatic biliary tract,O15199
3240844,ME1,undifferentiated carcinoma of liver and intrahepatic biliary tract,O15199
3240845,ME1,squamous cell carcinoma of liver and intrahepatic biliary tract,O15199
3240846,MECP2,hepatocellular carcinoma,A0A6Q8PF93
3240847,MECP2,liver cancer,A0A6Q8PF93
3240848,MECP2,fibrolamellar hepatocellular carcinoma,A0A6Q8PF93
3240849,MECP2,pediatric hepatocellular carcinoma,A0A6Q8PF93
3240850,MECP2,adenocarcinoma of liver and intrahepatic biliary tract,A0A6Q8PF93
3240851,MECP2,undifferentiated carcinoma of liver and intrahepatic biliary tract,A0A6Q8PF93
3240852,MECP2,squamous cell carcinoma of liver and intrahepatic biliary tract,A0A6Q8PF93
3240853,MET,hepatocellular carcinoma,B5A933
3240854,MET,liver cancer,B5A933
3240855,MET,fibrolamellar hepatocellular carcinoma,B5A933
3240856,MET,pediatric hepatocellular carcinoma,B5A933
3240857,MET,adenocarcinoma of liver and intrahepatic biliary tract,B5A933
3240858,MET,undifferentiated carcinoma of liver and intrahepatic biliary tract,B5A933
3240859,MET,squamous cell carcinoma of liver and intrahepatic biliary tract,B5A933
3240860,MKI67,hepatocellular carcinoma,Q70L72
3240861,MKI67,liver cancer,Q70L72
3240862,MKI67,fibrolamellar hepatocellular carcinoma,Q70L72
3240863,MKI67,pediatric hepatocellular carcinoma,Q70L72
3240864,MKI67,adenocarcinoma of liver and intrahepatic biliary tract,Q70L72
3240865,MKI67,undifferentiated carcinoma of liver and intrahepatic biliary tract,Q70L72
3240866,MKI67,squamous cell carcinoma of liver and intrahepatic biliary tract,Q70L72
3240867,KMT2A,hepatocellular carcinoma,A0A4D6WIU0
3240868,KMT2A,liver cancer,A0A4D6WIU0
3240869,KMT2A,fibrolamellar hepatocellular carcinoma,A0A4D6WIU0
3240870,KMT2A,pediatric hepatocellular carcinoma,A0A4D6WIU0
3240871,KMT2A,adenocarcinoma of liver and intrahepatic biliary tract,A0A4D6WIU0
3240872,KMT2A,undifferentiated carcinoma of liver and intrahepatic biliary tract,A0A4D6WIU0
3240873,KMT2A,squamous cell carcinoma of liver and intrahepatic biliary tract,A0A4D6WIU0
3240874,MMP2,hepatocellular carcinoma,J3KRB7
3240875,MMP2,liver cancer,J3KRB7
3240876,MMP2,fibrolamellar hepatocellular carcinoma,J3KRB7
3240877,MMP2,pediatric hepatocellular carcinoma,J3KRB7
3240878,MMP2,adenocarcinoma of liver and intrahepatic biliary tract,J3KRB7
3240879,MMP2,undifferentiated carcinoma of liver and intrahepatic biliary tract,J3KRB7
3240880,MMP2,squamous cell carcinoma of liver and intrahepatic biliary tract,J3KRB7
3240881,MMP9,hepatocellular carcinoma,P14780
3240882,MMP9,liver cancer,P14780
3240883,MMP9,fibrolamellar hepatocellular carcinoma,P14780
3240884,MMP9,pediatric hepatocellular carcinoma,P14780
3240885,MMP9,adenocarcinoma of liver and intrahepatic biliary tract,P14780
3240886,MMP9,undifferentiated carcinoma of liver and intrahepatic biliary tract,P14780
3240887,MMP9,squamous cell carcinoma of liver and intrahepatic biliary tract,P14780
3240888,MPO,hepatocellular carcinoma,Q16771
3240889,MPO,liver cancer,Q16771
3240890,MPO,fibrolamellar hepatocellular carcinoma,Q16771
3240891,MPO,pediatric hepatocellular carcinoma,Q16771
3240892,MPO,adenocarcinoma of liver and intrahepatic biliary tract,Q16771
3240893,MPO,undifferentiated carcinoma of liver and intrahepatic biliary tract,Q16771
3240894,MPO,squamous cell carcinoma of liver and intrahepatic biliary tract,Q16771
3240895,MSH5,hepatocellular carcinoma,Q12175
3240896,MSH5,liver cancer,Q12175
3240897,MSH5,fibrolamellar hepatocellular carcinoma,Q12175
3240898,MSH5,pediatric hepatocellular carcinoma,Q12175
3240899,MSH5,adenocarcinoma of liver and intrahepatic biliary tract,Q12175
3240900,MSH5,undifferentiated carcinoma of liver and intrahepatic biliary tract,Q12175
3240901,MSH5,squamous cell carcinoma of liver and intrahepatic biliary tract,Q12175
3240902,MT1A,hepatocellular carcinoma,P04731
3240903,MT1A,liver cancer,P04731
3240904,MT1A,fibrolamellar hepatocellular carcinoma,P04731
3240905,MT1A,pediatric hepatocellular carcinoma,P04731
3240906,MT1A,adenocarcinoma of liver and intrahepatic biliary tract,P04731
3240907,MT1A,undifferentiated carcinoma of liver and intrahepatic biliary tract,P04731
3240908,MT1A,squamous cell carcinoma of liver and intrahepatic biliary tract,P04731
3240909,MT1E,hepatocellular carcinoma,H3BU80
3240910,MT1E,liver cancer,H3BU80
3240911,MT1E,fibrolamellar hepatocellular carcinoma,H3BU80
3240912,MT1E,pediatric hepatocellular carcinoma,H3BU80
3240913,MT1E,adenocarcinoma of liver and intrahepatic biliary tract,H3BU80
3240914,MT1E,undifferentiated carcinoma of liver and intrahepatic biliary tract,H3BU80
3240915,MT1E,squamous cell carcinoma of liver and intrahepatic biliary tract,H3BU80
3240916,MT1F,hepatocellular carcinoma,H3BRY8
3240917,MT1F,liver cancer,H3BRY8
3240918,MT1F,fibrolamellar hepatocellular carcinoma,H3BRY8
3240919,MT1F,pediatric hepatocellular carcinoma,H3BRY8
3240920,MT1F,adenocarcinoma of liver and intrahepatic biliary tract,H3BRY8
3240921,MT1F,undifferentiated carcinoma of liver and intrahepatic biliary tract,H3BRY8
3240922,MT1F,squamous cell carcinoma of liver and intrahepatic biliary tract,H3BRY8
3240923,MT2A,hepatocellular carcinoma,H3BSP9
3240924,MT2A,liver cancer,H3BSP9
3240925,MT2A,fibrolamellar hepatocellular carcinoma,H3BSP9
3240926,MT2A,pediatric hepatocellular carcinoma,H3BSP9
3240927,MT2A,adenocarcinoma of liver and intrahepatic biliary tract,H3BSP9
3240928,MT2A,undifferentiated carcinoma of liver and intrahepatic biliary tract,H3BSP9
3240929,MT2A,squamous cell carcinoma of liver and intrahepatic biliary tract,H3BSP9
3240930,MVK,hepatocellular carcinoma,F5H092
3240931,MVK,liver cancer,F5H092
3240932,MVK,fibrolamellar hepatocellular carcinoma,F5H092
3240933,MVK,pediatric hepatocellular carcinoma,F5H092
3240934,MVK,adenocarcinoma of liver and intrahepatic biliary tract,F5H092
3240935,MVK,undifferentiated carcinoma of liver and intrahepatic biliary tract,F5H092
3240936,MVK,squamous cell carcinoma of liver and intrahepatic biliary tract,F5H092
3240937,MYBL2,hepatocellular carcinoma,P10244
3240938,MYBL2,liver cancer,P10244
3240939,MYBL2,fibrolamellar hepatocellular carcinoma,P10244
3240940,MYBL2,pediatric hepatocellular carcinoma,P10244
3240941,MYBL2,adenocarcinoma of liver and intrahepatic biliary tract,P10244
3240942,MYBL2,undifferentiated carcinoma of liver and intrahepatic biliary tract,P10244
3240943,MYBL2,squamous cell carcinoma of liver and intrahepatic biliary tract,P10244
3240944,MYC,hepatocellular carcinoma,L0CUZ4
3240945,MYC,liver cancer,L0CUZ4
3240946,MYC,fibrolamellar hepatocellular carcinoma,L0CUZ4
3240947,MYC,pediatric hepatocellular carcinoma,L0CUZ4
3240948,MYC,adenocarcinoma of liver and intrahepatic biliary tract,L0CUZ4
3240949,MYC,undifferentiated carcinoma of liver and intrahepatic biliary tract,L0CUZ4
3240950,MYC,squamous cell carcinoma of liver and intrahepatic biliary tract,L0CUZ4
3240951,NEK2,hepatocellular carcinoma,F6U4U2
3240952,NEK2,liver cancer,F6U4U2
3240953,NEK2,fibrolamellar hepatocellular carcinoma,F6U4U2
3240954,NEK2,pediatric hepatocellular carcinoma,F6U4U2
3240955,NEK2,adenocarcinoma of liver and intrahepatic biliary tract,F6U4U2
3240956,NEK2,undifferentiated carcinoma of liver and intrahepatic biliary tract,F6U4U2
3240957,NEK2,squamous cell carcinoma of liver and intrahepatic biliary tract,F6U4U2
3240958,NFE2L2,hepatocellular carcinoma,C9JBM0
3240959,NFE2L2,liver cancer,C9JBM0
3240960,NFE2L2,fibrolamellar hepatocellular carcinoma,C9JBM0
3240961,NFE2L2,pediatric hepatocellular carcinoma,C9JBM0
3240962,NFE2L2,adenocarcinoma of liver and intrahepatic biliary tract,C9JBM0
3240963,NFE2L2,undifferentiated carcinoma of liver and intrahepatic biliary tract,C9JBM0
3240964,NFE2L2,squamous cell carcinoma of liver and intrahepatic biliary tract,C9JBM0
3240965,NFKBIA,hepatocellular carcinoma,G3V2A2
3240966,NFKBIA,liver cancer,G3V2A2
3240967,NFKBIA,fibrolamellar hepatocellular carcinoma,G3V2A2
3240968,NFKBIA,pediatric hepatocellular carcinoma,G3V2A2
3240969,NFKBIA,adenocarcinoma of liver and intrahepatic biliary tract,G3V2A2
3240970,NFKBIA,undifferentiated carcinoma of liver and intrahepatic biliary tract,G3V2A2
3240971,NFKBIA,squamous cell carcinoma of liver and intrahepatic biliary tract,G3V2A2
3240972,TONSL,hepatocellular carcinoma,A0A087X1F6
3240973,TONSL,liver cancer,A0A087X1F6
3240974,TONSL,fibrolamellar hepatocellular carcinoma,A0A087X1F6
3240975,TONSL,pediatric hepatocellular carcinoma,A0A087X1F6
3240976,TONSL,adenocarcinoma of liver and intrahepatic biliary tract,A0A087X1F6
3240977,TONSL,undifferentiated carcinoma of liver and intrahepatic biliary tract,A0A087X1F6
3240978,TONSL,squamous cell carcinoma of liver and intrahepatic biliary tract,A0A087X1F6
3240979,NME1,hepatocellular carcinoma,C9K028
3240980,NME1,liver cancer,C9K028
3240981,NME1,fibrolamellar hepatocellular carcinoma,C9K028
3240982,NME1,pediatric hepatocellular carcinoma,C9K028
3240983,NME1,adenocarcinoma of liver and intrahepatic biliary tract,C9K028
3240984,NME1,undifferentiated carcinoma of liver and intrahepatic biliary tract,C9K028
3240985,NME1,squamous cell carcinoma of liver and intrahepatic biliary tract,C9K028
3240986,NNMT,hepatocellular carcinoma,Q6FH49
3240987,NNMT,liver cancer,Q6FH49
3240988,NNMT,fibrolamellar hepatocellular carcinoma,Q6FH49
3240989,NNMT,pediatric hepatocellular carcinoma,Q6FH49
3240990,NNMT,adenocarcinoma of liver and intrahepatic biliary tract,Q6FH49
3240991,NNMT,undifferentiated carcinoma of liver and intrahepatic biliary tract,Q6FH49
3240992,NNMT,squamous cell carcinoma of liver and intrahepatic biliary tract,Q6FH49
3240993,NOTCH3,hepatocellular carcinoma,B8XFT4
3240994,NOTCH3,liver cancer,B8XFT4
3240995,NOTCH3,fibrolamellar hepatocellular carcinoma,B8XFT4
3240996,NOTCH3,pediatric hepatocellular carcinoma,B8XFT4
3240997,NOTCH3,adenocarcinoma of liver and intrahepatic biliary tract,B8XFT4
3240998,NOTCH3,undifferentiated carcinoma of liver and intrahepatic biliary tract,B8XFT4
3240999,NOTCH3,squamous cell carcinoma of liver and intrahepatic biliary tract,B8XFT4
3241000,ORC1,hepatocellular carcinoma,P54784
3241001,ORC1,liver cancer,P54784
3241002,ORC1,fibrolamellar hepatocellular carcinoma,P54784
3241003,ORC1,pediatric hepatocellular carcinoma,P54784
3241004,ORC1,adenocarcinoma of liver and intrahepatic biliary tract,P54784
3241005,ORC1,undifferentiated carcinoma of liver and intrahepatic biliary tract,P54784
3241006,ORC1,squamous cell carcinoma of liver and intrahepatic biliary tract,P54784
3241007,PRDX1,hepatocellular carcinoma,A0A0A0MRQ5
3241008,PRDX1,liver cancer,A0A0A0MRQ5
3241009,PRDX1,fibrolamellar hepatocellular carcinoma,A0A0A0MRQ5
3241010,PRDX1,pediatric hepatocellular carcinoma,A0A0A0MRQ5
3241011,PRDX1,adenocarcinoma of liver and intrahepatic biliary tract,A0A0A0MRQ5
3241012,PRDX1,undifferentiated carcinoma of liver and intrahepatic biliary tract,A0A0A0MRQ5
3241013,PRDX1,squamous cell carcinoma of liver and intrahepatic biliary tract,A0A0A0MRQ5
3241014,PCK1,hepatocellular carcinoma,P10963
3241015,PCK1,liver cancer,P10963
3241016,PCK1,fibrolamellar hepatocellular carcinoma,P10963
3241017,PCK1,pediatric hepatocellular carcinoma,P10963
3241018,PCK1,adenocarcinoma of liver and intrahepatic biliary tract,P10963
3241019,PCK1,undifferentiated carcinoma of liver and intrahepatic biliary tract,P10963
3241020,PCK1,squamous cell carcinoma of liver and intrahepatic biliary tract,P10963
3241021,PDGFB,hepatocellular carcinoma,P78450
3241022,PDGFB,liver cancer,P78450
3241023,PDGFB,fibrolamellar hepatocellular carcinoma,P78450
3241024,PDGFB,pediatric hepatocellular carcinoma,P78450
3241025,PDGFB,adenocarcinoma of liver and intrahepatic biliary tract,P78450
3241026,PDGFB,undifferentiated carcinoma of liver and intrahepatic biliary tract,P78450
3241027,PDGFB,squamous cell carcinoma of liver and intrahepatic biliary tract,P78450
3241028,PDGFRL,hepatocellular carcinoma,A0A669KBD1
3241029,PDGFRL,liver cancer,A0A669KBD1
3241030,PDGFRL,fibrolamellar hepatocellular carcinoma,A0A669KBD1
3241031,PDGFRL,pediatric hepatocellular carcinoma,A0A669KBD1
3241032,PDGFRL,adenocarcinoma of liver and intrahepatic biliary tract,A0A669KBD1
3241033,PDGFRL,undifferentiated carcinoma of liver and intrahepatic biliary tract,A0A669KBD1
3241034,PDGFRL,squamous cell carcinoma of liver and intrahepatic biliary tract,A0A669KBD1
3241035,PDK4,hepatocellular carcinoma,B3KU25
3241036,PDK4,liver cancer,B3KU25
3241037,PDK4,fibrolamellar hepatocellular carcinoma,B3KU25
3241038,PDK4,pediatric hepatocellular carcinoma,B3KU25
3241039,PDK4,adenocarcinoma of liver and intrahepatic biliary tract,B3KU25
3241040,PDK4,undifferentiated carcinoma of liver and intrahepatic biliary tract,B3KU25
3241041,PDK4,squamous cell carcinoma of liver and intrahepatic biliary tract,B3KU25
3241042,CFP,hepatocellular carcinoma,A0A0S2Z515
3241043,CFP,liver cancer,A0A0S2Z515
3241044,CFP,fibrolamellar hepatocellular carcinoma,A0A0S2Z515
3241045,CFP,pediatric hepatocellular carcinoma,A0A0S2Z515
3241046,CFP,adenocarcinoma of liver and intrahepatic biliary tract,A0A0S2Z515
3241047,CFP,undifferentiated carcinoma of liver and intrahepatic biliary tract,A0A0S2Z515
3241048,CFP,squamous cell carcinoma of liver and intrahepatic biliary tract,A0A0S2Z515
3241049,CDK14,hepatocellular carcinoma,C9JWL6
3241050,CDK14,liver cancer,C9JWL6
3241051,CDK14,fibrolamellar hepatocellular carcinoma,C9JWL6
3241052,CDK14,pediatric hepatocellular carcinoma,C9JWL6
3241053,CDK14,adenocarcinoma of liver and intrahepatic biliary tract,C9JWL6
3241054,CDK14,undifferentiated carcinoma of liver and intrahepatic biliary tract,C9JWL6
3241055,CDK14,squamous cell carcinoma of liver and intrahepatic biliary tract,C9JWL6
3241056,PGD,hepatocellular carcinoma,K7EM49
3241057,PGD,liver cancer,K7EM49
3241058,PGD,fibrolamellar hepatocellular carcinoma,K7EM49
3241059,PGD,pediatric hepatocellular carcinoma,K7EM49
3241060,PGD,adenocarcinoma of liver and intrahepatic biliary tract,K7EM49
3241061,PGD,undifferentiated carcinoma of liver and intrahepatic biliary tract,K7EM49
3241062,PGD,squamous cell carcinoma of liver and intrahepatic biliary tract,K7EM49
3241063,PGK1,hepatocellular carcinoma,P00560
3241064,PGK1,liver cancer,P00560
3241065,PGK1,fibrolamellar hepatocellular carcinoma,P00560
3241066,PGK1,pediatric hepatocellular carcinoma,P00560
3241067,PGK1,adenocarcinoma of liver and intrahepatic biliary tract,P00560
3241068,PGK1,undifferentiated carcinoma of liver and intrahepatic biliary tract,P00560
3241069,PGK1,squamous cell carcinoma of liver and intrahepatic biliary tract,P00560
3241070,ABCB1,hepatocellular carcinoma,A8E2S6
3241071,ABCB1,liver cancer,A8E2S6
3241072,ABCB1,fibrolamellar hepatocellular carcinoma,A8E2S6
3241073,ABCB1,pediatric hepatocellular carcinoma,A8E2S6
3241074,ABCB1,adenocarcinoma of liver and intrahepatic biliary tract,A8E2S6
3241075,ABCB1,undifferentiated carcinoma of liver and intrahepatic biliary tract,A8E2S6
3241076,ABCB1,squamous cell carcinoma of liver and intrahepatic biliary tract,A8E2S6
3241077,ABCB4,hepatocellular carcinoma,A7J1Q8
3241078,ABCB4,liver cancer,A7J1Q8
3241079,ABCB4,fibrolamellar hepatocellular carcinoma,A7J1Q8
3241080,ABCB4,pediatric hepatocellular carcinoma,A7J1Q8
3241081,ABCB4,adenocarcinoma of liver and intrahepatic biliary tract,A7J1Q8
3241082,ABCB4,undifferentiated carcinoma of liver and intrahepatic biliary tract,A7J1Q8
3241083,ABCB4,squamous cell carcinoma of liver and intrahepatic biliary tract,A7J1Q8
3241084,PHB,hepatocellular carcinoma,Q6FHP5
3241085,PHB,liver cancer,Q6FHP5
3241086,PHB,fibrolamellar hepatocellular carcinoma,Q6FHP5
3241087,PHB,pediatric hepatocellular carcinoma,Q6FHP5
3241088,PHB,adenocarcinoma of liver and intrahepatic biliary tract,Q6FHP5
3241089,PHB,undifferentiated carcinoma of liver and intrahepatic biliary tract,Q6FHP5
3241090,PHB,squamous cell carcinoma of liver and intrahepatic biliary tract,Q6FHP5
3241091,SERPINA1,hepatocellular carcinoma,A0A0G2JRN3
3241092,SERPINA1,liver cancer,A0A0G2JRN3
3241093,SERPINA1,fibrolamellar hepatocellular carcinoma,A0A0G2JRN3
3241094,SERPINA1,pediatric hepatocellular carcinoma,A0A0G2JRN3
3241095,SERPINA1,adenocarcinoma of liver and intrahepatic biliary tract,A0A0G2JRN3
3241096,SERPINA1,undifferentiated carcinoma of liver and intrahepatic biliary tract,A0A0G2JRN3
3241097,SERPINA1,squamous cell carcinoma of liver and intrahepatic biliary tract,A0A0G2JRN3
3241098,SERPINA4,hepatocellular carcinoma,A0A024R6I9
3241099,SERPINA4,liver cancer,A0A024R6I9
3241100,SERPINA4,fibrolamellar hepatocellular carcinoma,A0A024R6I9
3241101,SERPINA4,pediatric hepatocellular carcinoma,A0A024R6I9
3241102,SERPINA4,adenocarcinoma of liver and intrahepatic biliary tract,A0A024R6I9
3241103,SERPINA4,undifferentiated carcinoma of liver and intrahepatic biliary tract,A0A024R6I9
3241104,SERPINA4,squamous cell carcinoma of liver and intrahepatic biliary tract,A0A024R6I9
3241105,PIK3CA,hepatocellular carcinoma,A0A6B9QKK2
3241106,PIK3CA,liver cancer,A0A6B9QKK2
3241107,PIK3CA,fibrolamellar hepatocellular carcinoma,A0A6B9QKK2
3241108,PIK3CA,pediatric hepatocellular carcinoma,A0A6B9QKK2
3241109,PIK3CA,adenocarcinoma of liver and intrahepatic biliary tract,A0A6B9QKK2
3241110,PIK3CA,undifferentiated carcinoma of liver and intrahepatic biliary tract,A0A6B9QKK2
3241111,PIK3CA,squamous cell carcinoma of liver and intrahepatic biliary tract,A0A6B9QKK2
3241112,PITX1,hepatocellular carcinoma,D6R955
3241113,PITX1,liver cancer,D6R955
3241114,PITX1,fibrolamellar hepatocellular carcinoma,D6R955
3241115,PITX1,pediatric hepatocellular carcinoma,D6R955
3241116,PITX1,adenocarcinoma of liver and intrahepatic biliary tract,D6R955
3241117,PITX1,undifferentiated carcinoma of liver and intrahepatic biliary tract,D6R955
3241118,PITX1,squamous cell carcinoma of liver and intrahepatic biliary tract,D6R955
3241119,PKM,hepatocellular carcinoma,H3BUW1
3241120,PKM,liver cancer,H3BUW1
3241121,PKM,fibrolamellar hepatocellular carcinoma,H3BUW1
3241122,PKM,pediatric hepatocellular carcinoma,H3BUW1
3241123,PKM,adenocarcinoma of liver and intrahepatic biliary tract,H3BUW1
3241124,PKM,undifferentiated carcinoma of liver and intrahepatic biliary tract,H3BUW1
3241125,PKM,squamous cell carcinoma of liver and intrahepatic biliary tract,H3BUW1
3241126,PKP1,hepatocellular carcinoma,P40530
3241127,PKP1,liver cancer,P40530
3241128,PKP1,fibrolamellar hepatocellular carcinoma,P40530
3241129,PKP1,pediatric hepatocellular carcinoma,P40530
3241130,PKP1,adenocarcinoma of liver and intrahepatic biliary tract,P40530
3241131,PKP1,undifferentiated carcinoma of liver and intrahepatic biliary tract,P40530
3241132,PKP1,squamous cell carcinoma of liver and intrahepatic biliary tract,P40530
3241133,PLK1,hepatocellular carcinoma,I3L2H5
3241134,PLK1,liver cancer,I3L2H5
3241135,PLK1,fibrolamellar hepatocellular carcinoma,I3L2H5
3241136,PLK1,pediatric hepatocellular carcinoma,I3L2H5
3241137,PLK1,adenocarcinoma of liver and intrahepatic biliary tract,I3L2H5
3241138,PLK1,undifferentiated carcinoma of liver and intrahepatic biliary tract,I3L2H5
3241139,PLK1,squamous cell carcinoma of liver and intrahepatic biliary tract,I3L2H5
3241140,PPARG,hepatocellular carcinoma,A0A499FIV4
3241141,PPARG,liver cancer,A0A499FIV4
3241142,PPARG,fibrolamellar hepatocellular carcinoma,A0A499FIV4
3241143,PPARG,pediatric hepatocellular carcinoma,A0A499FIV4
3241144,PPARG,adenocarcinoma of liver and intrahepatic biliary tract,A0A499FIV4
3241145,PPARG,undifferentiated carcinoma of liver and intrahepatic biliary tract,A0A499FIV4
3241146,PPARG,squamous cell carcinoma of liver and intrahepatic biliary tract,A0A499FIV4
3241147,MED1,hepatocellular carcinoma,Q12321
3241148,MED1,liver cancer,Q12321
3241149,MED1,fibrolamellar hepatocellular carcinoma,Q12321
3241150,MED1,pediatric hepatocellular carcinoma,Q12321
3241151,MED1,adenocarcinoma of liver and intrahepatic biliary tract,Q12321
3241152,MED1,undifferentiated carcinoma of liver and intrahepatic biliary tract,Q12321
3241153,MED1,squamous cell carcinoma of liver and intrahepatic biliary tract,Q12321
3241154,PPP1R1A,hepatocellular carcinoma,F8VR76
3241155,PPP1R1A,liver cancer,F8VR76
3241156,PPP1R1A,fibrolamellar hepatocellular carcinoma,F8VR76
3241157,PPP1R1A,pediatric hepatocellular carcinoma,F8VR76
3241158,PPP1R1A,adenocarcinoma of liver and intrahepatic biliary tract,F8VR76
3241159,PPP1R1A,undifferentiated carcinoma of liver and intrahepatic biliary tract,F8VR76
3241160,PPP1R1A,squamous cell carcinoma of liver and intrahepatic biliary tract,F8VR76
3241161,PTEN,liver cancer,H6WA52
3241162,PTEN,fibrolamellar hepatocellular carcinoma,H6WA52
3241163,PTEN,pediatric hepatocellular carcinoma,H6WA52
3241164,PTEN,adenocarcinoma of liver and intrahepatic biliary tract,H6WA52
3241165,PTEN,undifferentiated carcinoma of liver and intrahepatic biliary tract,H6WA52
3241166,PTEN,squamous cell carcinoma of liver and intrahepatic biliary tract,H6WA52
3241167,PTGS2,hepatocellular carcinoma,D9MWI3
3241168,PTGS2,liver cancer,D9MWI3
3241169,PTGS2,fibrolamellar hepatocellular carcinoma,D9MWI3
3241170,PTGS2,pediatric hepatocellular carcinoma,D9MWI3
3241171,PTGS2,adenocarcinoma of liver and intrahepatic biliary tract,D9MWI3
3241172,PTGS2,undifferentiated carcinoma of liver and intrahepatic biliary tract,D9MWI3
3241173,PTGS2,squamous cell carcinoma of liver and intrahepatic biliary tract,D9MWI3
3241174,PTH1R,hepatocellular carcinoma,Q0VGD7
3241175,PTH1R,liver cancer,Q0VGD7
3241176,PTH1R,fibrolamellar hepatocellular carcinoma,Q0VGD7
3241177,PTH1R,pediatric hepatocellular carcinoma,Q0VGD7
3241178,PTH1R,adenocarcinoma of liver and intrahepatic biliary tract,Q0VGD7
3241179,PTH1R,undifferentiated carcinoma of liver and intrahepatic biliary tract,Q0VGD7
3241180,PTH1R,squamous cell carcinoma of liver and intrahepatic biliary tract,Q0VGD7
3241181,PTK2,hepatocellular carcinoma,P47116
3241182,PTK2,liver cancer,P47116
3241183,PTK2,fibrolamellar hepatocellular carcinoma,P47116
